RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Intv	Gaussian	0.0e+00	Slope	4	0	Forward	4.008e-14	2.100e-14	1.176e-321	1.119e-13	6.519e-02	2.926e-01	-1.481e-01	1.641e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0323	0.903	0.0323	0.00	0.00	0.00	0.00	0.00	0.00	0.0323	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Slope	4	0	Backward	5.292e-14	9.725e-15	3.447e-14	6.584e-14	1.781e-03	5.932e-03	-8.801e-03	1.495e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Slope	4	0	Roundtrip	6.839e-15	1.444e-15	3.636e-15	8.216e-15	1.640e-02	5.230e-01	-1.374e+00	9.679e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.00	0.00	0.00	0.156	0.188	0.0313	0.156	0.0313	0.156	0.219	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Slope	4	0	Forward	4.008e-14	2.100e-14	1.176e-321	1.119e-13	6.519e-02	2.926e-01	-1.481e-01	1.641e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0323	0.903	0.0323	0.00	0.00	0.00	0.00	0.00	0.00	0.0323	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Slope	4	0	Backward	5.292e-14	9.725e-15	3.447e-14	6.584e-14	1.781e-03	5.932e-03	-8.801e-03	1.495e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Slope	4	0	Roundtrip	6.839e-15	1.444e-15	3.636e-15	8.216e-15	1.640e-02	5.230e-01	-1.374e+00	9.679e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.00	0.00	0.00	0.156	0.188	0.0313	0.156	0.0313	0.156	0.219	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Sin	4	7	Forward	2.582e-15	1.878e-15	1.500e-322	5.829e-15	3.422e-04	4.964e-02	-1.266e-01	1.266e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Sin	4	7	Backward	3.967e-15	7.448e-16	2.094e-15	4.667e-15	2.982e-19	1.966e-02	-5.470e-02	5.470e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Sin	4	7	Roundtrip	6.111e-16	2.606e-16	1.500e-323	1.110e-15	-4.337e-19	7.383e-02	-1.404e-01	1.404e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.875	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Cos	4	7	Forward	2.512e-15	1.752e-15	1.500e-322	5.163e-15	8.791e-03	5.686e-02	-1.069e-01	1.178e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.813	0.156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Cos	4	7	Backward	3.870e-15	6.925e-16	2.219e-15	4.598e-15	-3.253e-19	1.932e-02	-5.546e-02	5.546e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	0.0e+00	Cos	4	7	Roundtrip	6.111e-16	2.606e-16	1.500e-323	1.110e-15	-8.674e-19	7.383e-02	-1.404e-01	1.404e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.875	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Sin	4	7	Forward	2.582e-15	1.878e-15	1.500e-322	5.829e-15	3.422e-04	4.964e-02	-1.266e-01	1.266e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Sin	4	7	Backward	3.967e-15	7.448e-16	2.094e-15	4.667e-15	2.982e-19	1.966e-02	-5.470e-02	5.470e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Sin	4	7	Roundtrip	6.111e-16	2.606e-16	1.500e-323	1.110e-15	-4.337e-19	7.383e-02	-1.404e-01	1.404e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.875	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	0.0e+00	Cos	4	7	Forward	2.512e-15	1.752e-15	1.500e-322	5.163e-15	8.791e-03	5.686e-02	-1.069e-01	1.178e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.813	0.156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
