RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Var	Gaussian	0.0e+00	Slope	4	0	Forward	4.027e-15	2.439e-15	0.000e+00	1.179e-14	2.208e-01	6.811e-01	-1.835e+00	2.174e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0345	0.00	0.00	0.00	0.00	0.00	0.00	0.0345	0.00	0.552	0.103	0.103	0.00	0.0345	0.00	0.0690	0.00	0.0345	0.00	0.00	0.0345	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Slope	4	0	Backward	1.249e-15	2.457e-16	9.823e-16	1.557e-15	7.497e-02	4.772e-01	-1.207e+00	1.207e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.00	0.00	0.00	0.00	0.0625	0.625	0.0625	0.00	0.125	0.00	0.00	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Slope	4	0	Roundtrip	6.795e-16	1.581e-16	4.318e-16	9.795e-16	2.001e-01	1.290e+00	-2.340e+00	2.340e+00	0.00	0.00	0.00	0.143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.429	0.00	0.00	0.00	0.286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.143	0.00	0.00	0.00
Var	Uniform	0.0e+00	Slope	4	0	Forward	4.027e-15	2.439e-15	0.000e+00	1.179e-14	2.208e-01	6.811e-01	-1.835e+00	2.174e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0345	0.00	0.00	0.00	0.00	0.00	0.00	0.0345	0.00	0.552	0.103	0.103	0.00	0.0345	0.00	0.0690	0.00	0.0345	0.00	0.00	0.0345	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Slope	4	0	Backward	1.249e-15	2.457e-16	9.823e-16	1.557e-15	7.497e-02	4.772e-01	-1.207e+00	1.207e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.00	0.00	0.00	0.00	0.0625	0.625	0.0625	0.00	0.125	0.00	0.00	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Slope	4	0	Roundtrip	6.795e-16	1.581e-16	4.318e-16	9.795e-16	2.001e-01	1.290e+00	-2.340e+00	2.340e+00	0.00	0.00	0.00	0.143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.429	0.00	0.00	0.00	0.286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.143	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Sin	4	7	Forward	2.883e-16	1.401e-16	0.000e+00	5.290e-16	0.000e+00	5.714e-01	-1.097e+00	1.097e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0667	0.100	0.0667	0.00	0.00	0.533	0.00	0.00	0.0667	0.100	0.0667	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Sin	4	7	Backward	1.077e-16	2.466e-17	6.398e-17	1.828e-16	3.469e-18	5.921e-01	-1.096e+00	1.096e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.125	0.00	0.156	0.00	0.00	0.438	0.00	0.00	0.156	0.00	0.125	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Sin	4	7	Roundtrip	9.036e-17	4.149e-17	0.000e+00	1.813e-16	0.000e+00	4.275e-01	-7.009e-01	7.009e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0714	0.143	0.00	0.00	0.571	0.00	0.00	0.143	0.0714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Cos	4	7	Forward	2.699e-16	1.158e-16	0.000e+00	4.368e-16	9.353e-02	6.246e-01	-1.017e+00	1.258e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0667	0.0667	0.0667	0.00	0.00	0.533	0.00	0.00	0.0667	0.0667	0.00	0.133	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Cos	4	7	Backward	1.031e-16	2.339e-17	6.398e-17	1.770e-16	0.000e+00	6.197e-01	-1.139e+00	1.139e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0938	0.00	0.156	0.00	0.00	0.438	0.00	0.00	0.156	0.00	0.0938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	0.0e+00	Cos	4	7	Roundtrip	9.036e-17	4.149e-17	0.000e+00	1.813e-16	-1.983e-17	4.275e-01	-7.009e-01	7.009e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0714	0.143	0.00	0.00	0.571	0.00	0.00	0.143	0.0714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Sin	4	7	Forward	2.883e-16	1.401e-16	0.000e+00	5.290e-16	0.000e+00	5.714e-01	-1.097e+00	1.097e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0667	0.100	0.0667	0.00	0.00	0.533	0.00	0.00	0.0667	0.100	0.0667	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Sin	4	7	Backward	1.077e-16	2.466e-17	6.398e-17	1.828e-16	3.469e-18	5.921e-01	-1.096e+00	1.096e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.125	0.00	0.156	0.00	0.00	0.438	0.00	0.00	0.156	0.00	0.125	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Sin	4	7	Roundtrip	9.036e-17	4.149e-17	0.000e+00	1.813e-16	0.000e+00	4.275e-01	-7.009e-01	7.009e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0714	0.143	0.00	0.00	0.571	0.00	0.00	0.143	0.0714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Cos	4	7	Forward	2.699e-16	1.158e-16	0.000e+00	4.368e-16	9.353e-02	6.246e-01	-1.017e+00	1.258e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0667	0.0667	0.0667	0.00	0.00	0.533	0.00	0.00	0.0667	0.0667	0.00	0.133	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Cos	4	7	Backward	1.031e-16	2.339e-17	6.398e-17	1.770e-16	0.000e+00	6.197e-01	-1.139e+00	1.139e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0938	0.00	0.156	0.00	0.00	0.438	0.00	0.00	0.156	0.00	0.0938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	0.0e+00	Cos	4	7	Roundtrip	9.036e-17	4.149e-17	0.000e+00	1.813e-16	-1.983e-17	4.275e-01	-7.009e-01	7.009e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0714	0.143	0.00	0.00	0.571	0.00	0.00	0.143	0.0714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-06	Slope	4	0	Forward	4.000e-06	0.000e+00	4.000e-06	4.000e-06	-3.994e-01	1.166e+00	-2.999e+00	2.808e+00	0.0625	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.00	0.125	0.0938	0.0938	0.0625	0.0313	0.0625	0.156	0.00	0.0625	0.0313	0.0313	0.0625	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.00
Var	Gaussian	1.0e-06	Slope	4	0	Backward	1.000e-06	0.000e+00	1.000e-06	1.000e-06	-1.880e-01	1.218e+00	-2.912e+00	2.387e+00	0.0313	0.00	0.0313	0.00	0.0313	0.0313	0.00	0.00	0.0313	0.0625	0.0313	0.0625	0.0938	0.00	0.00	0.0625	0.250	0.0625	0.0625	0.00	0.00	0.00	0.0625	0.0625	0.00	0.00	0.00	0.0313	0.00	0.00	0.00
Var	Gaussian	1.0e-06	Slope	4	0	Roundtrip	2.500e-07	0.000e+00	2.500e-07	2.500e-07	4.722e-02	7.106e-01	-1.579e+00	1.380e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.00	0.00	0.0938	0.125	0.0625	0.0625	0.0625	0.125	0.0938	0.125	0.0938	0.0625	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-06	Slope	4	0	Forward	4.000e-06	0.000e+00	4.000e-06	4.000e-06	-2.497e-01	1.071e+00	-2.756e+00	2.015e+00	0.00	0.0313	0.00	0.00	0.00	0.0625	0.0313	0.00	0.0313	0.0625	0.0625	0.0625	0.0313	0.0625	0.0313	0.0625	0.125	0.125	0.0625	0.0313	0.0313	0.0313	0.0313	0.00	0.00	0.0313	0.00	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-06	Slope	4	0	Backward	1.000e-06	0.000e+00	1.000e-06	1.000e-06	-1.897e-01	1.083e+00	-1.681e+00	1.681e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.188	0.0313	0.0313	0.0313	0.0938	0.0938	0.0938	0.0313	0.0625	0.0313	0.00	0.0313	0.0313	0.0625	0.0625	0.0313	0.0938	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-06	Slope	4	0	Roundtrip	2.500e-07	0.000e+00	2.500e-07	2.500e-07	1.984e-01	1.089e+00	-1.598e+00	2.508e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0625	0.0313	0.0625	0.0625	0.0313	0.0625	0.0313	0.0938	0.188	0.0313	0.00	0.0313	0.00	0.0625	0.125	0.00	0.00	0.0313	0.00	0.0313	0.0313	0.00	0.00
Var	Gaussian	1.0e-06	Sin	4	7	Forward	4.000e-06	0.000e+00	4.000e-06	4.000e-06	1.331e-01	8.527e-01	-1.372e+00	1.877e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0625	0.0313	0.0625	0.0938	0.0938	0.0938	0.0625	0.00	0.0313	0.125	0.0625	0.125	0.0625	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-06	Sin	4	7	Backward	1.000e-06	0.000e+00	1.000e-06	1.000e-06	8.575e-02	8.588e-01	-1.455e+00	1.978e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.00	0.125	0.0625	0.0313	0.0313	0.0313	0.156	0.0938	0.0938	0.0625	0.0625	0.0625	0.0313	0.0313	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-06	Sin	4	7	Roundtrip	2.500e-07	0.000e+00	2.500e-07	2.500e-07	2.720e-01	9.457e-01	-1.175e+00	2.248e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.0625	0.0313	0.0938	0.0625	0.0625	0.0938	0.0938	0.0938	0.0313	0.0313	0.0625	0.0938	0.00	0.00	0.0313	0.0625	0.0313	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-06	Cos	4	7	Forward	4.000e-06	0.000e+00	4.000e-06	4.000e-06	-8.536e-02	1.100e+00	-2.438e+00	2.652e+00	0.00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.0938	0.00	0.00	0.0625	0.0313	0.0625	0.0625	0.0625	0.0938	0.156	0.0625	0.00	0.125	0.00	0.0313	0.00	0.0625	0.00	0.00	0.00	0.00	0.0313	0.00	0.00
