X	Edge	Bias	Value	Uncertainty	Exception
-3.000000000000000e+00	1.980900000000000e-01	4.064103272160762e-01	1.406410327216076e+00	9.486650755754822e+01	Type.NotMonotonicException
-2.950000000000000e+00	1.981300000000000e-01	3.854404919024435e-01	1.385440491902443e+00	8.009473327811463e+01	Type.NotMonotonicException
-2.900000000000000e+00	1.981800000000000e-01	3.663425081335991e-01	1.366342508133599e+00	6.810463000354486e+01	Type.NotMonotonicException
-2.850000000000000e+00	1.982300000000000e-01	3.485041747966400e-01	1.348504174796640e+00	5.786139336769490e+01	Type.NotMonotonicException
-2.800000000000000e+00	1.982800000000000e-01	3.317934485516223e-01	1.331793448551622e+00	4.911755173946605e+01	Type.NotMonotonicException
-2.750000000000000e+00	1.983300000000000e-01	3.160948416548852e-01	1.316094841654885e+00	4.165973155760979e+01	Type.NotMonotonicException
-2.700000000000000e+00	1.983800000000000e-01	3.013073042131045e-01	1.301307304213105e+00	3.530408995928525e+01	Type.NotMonotonicException
-2.650000000000000e+00	1.984200000000000e-01	2.871751314025317e-01	1.287175131402532e+00	2.966298991610778e+01	Type.NotMonotonicException
-2.600000000000000e+00	1.984700000000000e-01	2.739768606991413e-01	1.273976860699141e+00	2.509515278365426e+01	Type.NotMonotonicException
-2.550000000000000e+00	1.985200000000000e-01	2.614527617874018e-01	1.261452761787402e+00	2.121242945827462e+01	Type.NotMonotonicException
-2.500000000000000e+00	1.985700000000000e-01	2.495436704058778e-01	1.249543670405878e+00	1.791506596462733e+01	Type.NotMonotonicException
-2.450000000000000e+00	1.986200000000000e-01	2.381976215938295e-01	1.238197621593830e+00	1.511743318810871e+01	Type.NotMonotonicException
-2.400000000000000e+00	1.986600000000000e-01	2.272838243471356e-01	1.227283824347136e+00	1.265093980200758e+01	Type.NotMonotonicException
-2.350000000000000e+00	1.987100000000000e-01	2.169423414046825e-01	1.216942341404683e+00	1.065844603298917e+01	Type.NotMonotonicException
-2.300000000000000e+00	1.987600000000000e-01	2.070411383198236e-01	1.207041138319824e+00	8.972954548581855e+00	Type.NotMonotonicException
-2.250000000000000e+00	1.988100000000000e-01	1.975490975251435e-01	1.197549097525144e+00	7.548715599647395e+00	Type.NotMonotonicException
-2.200000000000000e+00	1.988600000000000e-01	1.884386895368835e-01	1.188438689536884e+00	6.346617574959755e+00	Type.NotMonotonicException
-2.150000000000000e+00	1.989100000000000e-01	1.796855132800899e-01	1.179685513280090e+00	5.333252866243388e+00	Type.NotMonotonicException
-2.100000000000000e+00	1.989600000000000e-01	1.712678962765670e-01	1.171267896276567e+00	4.480111047121404e+00	Type.NotMonotonicException
-2.050000000000000e+00	1.990000000000000e-01	1.631293738358053e-01	1.163129373835805e+00	3.736717876971491e+00	Type.NotMonotonicException
-2.000000000000000e+00	1.990500000000000e-01	1.553308017125443e-01	1.155330801712544e+00	3.139257140972415e+00	Type.NotMonotonicException
-1.950000000000000e+00	1.991000000000000e-01	1.478154289373079e-01	1.147815428937308e+00	2.638627461567807e+00	Type.NotMonotonicException
-1.900000000000000e+00	1.991500000000000e-01	1.405695124689950e-01	1.140569512468995e+00	2.219948981052058e+00	Type.NotMonotonicException
-1.850000000000000e+00	1.992000000000000e-01	1.335806893946687e-01	1.133580689394669e+00	1.870569019029322e+00	Type.NotMonotonicException
-1.800000000000000e+00	1.992500000000000e-01	1.268378061584330e-01	1.126837806158433e+00	1.579729868521995e+00	Type.NotMonotonicException
-1.750000000000000e+00	1.992900000000000e-01	1.203102750238914e-01	1.120310275023891e+00	1.330546415873906e+00	Type.NotMonotonicException
-1.700000000000000e+00	1.993400000000000e-01	1.140316947680247e-01	1.114031694768025e+00	1.132227412106703e+00	Type.NotMonotonicException
-1.650000000000000e+00	1.993900000000000e-01	1.079712779473778e-01	1.107971277947378e+00	9.685945965772000e-01	Type.NotMonotonicException
-1.600000000000000e+00	1.994400000000000e-01	1.021214324658963e-01	1.102121432465896e+00	8.339983825064153e-01	Type.NotMonotonicException
-1.550000000000000e+00	1.994900000000000e-01	9.647520119841557e-02	1.096475201198416e+00	7.235878993648168e-01	Type.NotMonotonicException
-1.500000000000000e+00	1.995400000000000e-01	9.102618915927851e-02	1.091026189159279e+00	6.331873579354337e-01	Type.NotMonotonicException
-1.450000000000000e+00	1.995900000000000e-01	8.576850018479099e-02	1.085768500184791e+00	5.592002623378596e-01	Type.NotMonotonicException
-1.400000000000000e+00	1.996400000000000e-01	8.069668186340206e-02	1.080696681863402e+00	4.985385286941962e-01	Type.NotMonotonicException
-1.350000000000000e+00	1.996800000000000e-01	7.579536371097450e-02	1.075795363710975e+00	4.475837196316745e-01	Type.NotMonotonicException
-1.300000000000000e+00	1.997300000000000e-01	7.108129140023190e-02	1.071081291400232e+00	4.063559475687423e-01	Type.NotMonotonicException
-1.250000000000000e+00	1.997800000000000e-01	6.653888354372728e-02	1.066538883543727e+00	3.717111454753946e-01	Type.NotMonotonicException
-1.200000000000000e+00	1.998300000000000e-01	6.216404822421606e-02	1.062164048224216e+00	3.421731770407915e-01	Type.NotMonotonicException
-1.150000000000000e+00	1.998800000000000e-01	5.795295087188723e-02	1.057952950871887e+00	3.165661488636695e-01	Type.NotMonotonicException
-1.100000000000000e+00	1.999300000000000e-01	5.390199021494158e-02	1.053901990214942e+00	2.939702644736891e-01	Type.NotMonotonicException
-1.050000000000000e+00	1.999700000000000e-01	5.000157447926434e-02	1.050001574479264e+00	2.735346502869069e-01	Type.NotMonotonicException
