2n	Momentum	Exponent	Input Uncertainty	Term	Variance

2	1.000000e+00	-2.000000e+00	2.000000e-01	4.000000e+00	1.600000e-01
2	1.000000e+00	-2.000000e+00	1.950000e-01	4.000000e+00	1.521000e-01
2	1.000000e+00	-1.500000e+00	2.000000e-01	2.250000e+00	9.000000e-02
2	1.000000e+00	-1.500000e+00	1.950000e-01	2.250000e+00	8.555625e-02
2	1.000000e+00	-1.000000e+00	2.000000e-01	1.000000e+00	4.000000e-02
2	1.000000e+00	-1.000000e+00	1.950000e-01	1.000000e+00	3.802500e-02
2	1.000000e+00	-5.000000e-01	2.000000e-01	2.500000e-01	1.000000e-02
2	1.000000e+00	-5.000000e-01	1.950000e-01	2.500000e-01	9.506250e-03
2	1.000000e+00	5.000000e-01	2.000000e-01	2.500000e-01	1.000000e-02
2	1.000000e+00	5.000000e-01	1.950000e-01	2.500000e-01	9.506250e-03
2	1.000000e+00	1.500000e+00	2.000000e-01	2.250000e+00	9.000000e-02
2	1.000000e+00	1.500000e+00	1.950000e-01	2.250000e+00	8.555625e-02

4	2.999628e+00	-2.000000e+00	2.000000e-01	6.599071e+01	1.055851e-01
4	2.999628e+00	-2.000000e+00	1.950000e-01	6.599071e+01	9.541601e-02
4	2.999628e+00	-1.500000e+00	2.000000e-01	2.671500e+01	4.274401e-02
4	2.999628e+00	-1.500000e+00	1.950000e-01	2.671500e+01	3.862724e-02
4	2.999628e+00	-1.000000e+00	2.000000e-01	7.998885e+00	1.279822e-02
4	2.999628e+00	-1.000000e+00	1.950000e-01	7.998885e+00	1.156559e-02
4	2.999628e+00	-5.000000e-01	2.000000e-01	1.218582e+00	1.949731e-03
4	2.999628e+00	-5.000000e-01	1.950000e-01	1.218582e+00	1.761948e-03
4	2.999628e+00	5.000000e-01	2.000000e-01	2.187210e-01	3.499535e-04
4	2.999628e+00	5.000000e-01	1.950000e-01	2.187210e-01	3.162488e-04
4	2.999628e+00	1.500000e+00	2.000000e-01	-2.812326e-01	-4.499721e-04
4	2.999628e+00	1.500000e+00	1.950000e-01	-2.812326e-01	-4.066344e-04

6	1.498885e+01	-2.000000e+00	2.000000e-01	9.592306e+02	6.139076e-02
6	1.498885e+01	-2.000000e+00	1.950000e-01	9.592306e+02	5.273886e-02
6	1.498885e+01	-1.500000e+00	2.000000e-01	3.040926e+02	1.946192e-02
6	1.498885e+01	-1.500000e+00	1.950000e-01	3.040926e+02	1.671912e-02
6	1.498885e+01	-1.000000e+00	2.000000e-01	6.894499e+01	4.412479e-03
6	1.498885e+01	-1.000000e+00	1.950000e-01	6.894499e+01	3.790621e-03
6	1.498885e+01	-5.000000e-01	2.000000e-01	7.611144e+00	4.871132e-04
6	1.498885e+01	-5.000000e-01	1.950000e-01	7.611144e+00	4.184635e-04
6	1.498885e+01	5.000000e-01	2.000000e-01	5.854838e-01	3.747096e-05
6	1.498885e+01	5.000000e-01	1.950000e-01	5.854838e-01	3.219012e-05
6	1.498885e+01	1.500000e+00	2.000000e-01	-2.576535e-01	-1.648983e-05
6	1.498885e+01	1.500000e+00	1.950000e-01	-2.576535e-01	-1.416589e-05

8	1.046896e+02	-2.000000e+00	2.000000e-01	1.453490e+04	3.720935e-02
8	1.046896e+02	-2.000000e+00	1.950000e-01	1.453490e+04	3.038708e-02
