X	Edge	Bias	Value	Uncertainty	Exception
-3.141592653589793e+00	1.000000000000000e+00	4.818605803675024e-17	-7.427862187798508e-17	6.575195142940906e-01	Type.NotPositiveException
-3.092505268377453e+00	1.000600000000000e+00	1.932446661353163e-02	-2.974320771388633e-02	6.572172927374534e-01	Type.NotPositiveException
-3.043417883165112e+00	1.002400000000000e+00	3.870938980217127e-02	-5.930775052738956e-02	6.563151432063786e-01	Type.NotPositiveException
-2.994330497952772e+00	1.005600000000000e+00	5.823227401181641e-02	-8.849820044354540e-02	6.548679954061706e-01	Type.NotPositiveException
-2.945243112740431e+00	1.010100000000000e+00	7.795707847432724e-02	-1.171332435418014e-01	6.528784341843961e-01	Type.NotPositiveException
-2.896155727528091e+00	1.016100000000000e+00	9.797771624170182e-02	-1.450024636615623e-01	6.504210094222873e-01	Type.NotPositiveException
-2.847068342315750e+00	1.023800000000000e+00	1.184076434635198e-01	-1.718770337909426e-01	6.475812913217470e-01	Type.NotPositiveException
-2.797980957103409e+00	1.033600000000000e+00	1.394188112745110e-01	-1.974710421177094e-01	6.444986131480155e-01	Type.NotPositiveException
-2.748893571891069e+00	1.045900000000000e+00	1.612205389984078e-01	-2.214628933666821e-01	6.413258151330550e-01	Type.NotPositiveException
-2.699806186678729e+00	1.061100000000000e+00	1.840551150349739e-01	-2.434999783953082e-01	6.382300824905772e-01	Type.NotPositiveException
-2.650718801466388e+00	1.080100000000000e+00	2.083340626181631e-01	-2.630626742078348e-01	6.354980721511552e-01	Type.NotPositiveException
-2.601631416254048e+00	1.104100000000000e+00	2.346299613344349e-01	-2.794727828587869e-01	6.334915928954300e-01	Type.NotPositiveException
-2.552544031041707e+00	1.134600000000000e+00	2.636920422354355e-01	-2.918781907841667e-01	6.326376125767903e-01	Type.NotPositiveException
-2.503456645829366e+00	1.174500000000000e+00	2.968286344358291e-01	-2.988706700566044e-01	6.336244064808024e-01	Type.NotPositiveException
-2.454369260617026e+00	1.227900000000000e+00	3.358843351745235e-01	-2.985089489891220e-01	6.372679959584626e-01	Type.NotPositiveException
-2.405281875404685e+00	1.302700000000000e+00	3.840976269004306e-01	-2.874613279465880e-01	6.447640210698979e-01	Type.NotPositiveException
